"Protein Group","Accession","Description","logFC","AveExpr","t","P.Value","adj.P.Val","B"
3317,"Q6P1N9|TATD1_HUMAN","Putative deoxyribonuclease TATDN1 OS=Homo sapiens OX=9606 GN=TATDN1 PE=1 SV=2",-0.708063287422895,10.2906237551659,-0.506902482219587,0.614438381745532,0.758173478948861,-5.67999715974602
3318,"Q04864|REL_HUMAN","Proto-oncogene c-Rel OS=Homo sapiens OX=9606 GN=REL PE=1 SV=1",-0.977653723956955,8.43767462622096,-0.489129546303099,0.626876191725287,0.766815040545529,-5.68816762987855
3319,"Q9BW60|ELOV1_HUMAN","Elongation of very long chain fatty acids protein 1 OS=Homo sapiens OX=9606 GN=ELOVL1 PE=1 SV=1",-0.824623441262052,12.1601484254654,-0.980130319965442,0.331712749626277,0.560214426830518,-5.3577087559995
3321,"Q96BR1|SGK3_HUMAN","Serine/threonine-protein kinase Sgk3 OS=Homo sapiens OX=9606 GN=SGK3 PE=1 SV=1",1.42512091203453,6.6680124660674,0.672348851736333,0.504438637280007,0.682998180058155,-5.59015444648749
3322,"#CONTAM#SUMO1_HUMAN|",">sp|SUMO1_HUMAN|",-0.78927247695621,10.6324476770128,-0.533592254985027,0.595973909428612,0.744164959708206,-5.66718606135803
3322,"P63165|SUMO1_HUMAN","Small ubiquitin-related modifier 1 OS=Homo sapiens OX=9606 GN=SUMO1 PE=1 SV=1",-0.78927247695621,10.6324476770128,-0.533592254985027,0.595973909428612,0.744164959708206,-5.66718606135803
3322,"G2XKQ0|SUMO5_HUMAN","Small ubiquitin-related modifier 5 OS=Homo sapiens OX=9606 GN=SUMO1P1 PE=1 SV=2",-4.61063741419592,8.71893772411929,-2.42675391547462,0.0188588908929568,0.295105535928087,-3.22794514603292
3324,"Q9HBH5|RDH14_HUMAN","Retinol dehydrogenase 14 OS=Homo sapiens OX=9606 GN=RDH14 PE=1 SV=1",-4.96152487366576,7.17464410700333,-2.52860202672804,0.01463429576087,0.286254888807852,-3.02150432782102
3326,"Q9NZ09|UBAP1_HUMAN","Ubiquitin-associated protein 1 OS=Homo sapiens OX=9606 GN=UBAP1 PE=1 SV=1",-1.70702431558166,9.93908534260351,-1.14465662527307,0.257769199777712,0.501168664675302,-5.19939439436637
3327,"Q92667|AKAP1_HUMAN","A-kinase anchor protein 1, mitochondrial OS=Homo sapiens OX=9606 GN=AKAP1 PE=1 SV=1",-1.34881452413554,5.14418810020221,-0.674365453035653,0.50316678291598,0.682226169564286,-5.58890651677573
3329,"P17096|HMGA1_HUMAN","High mobility group protein HMG-I/HMG-Y OS=Homo sapiens OX=9606 GN=HMGA1 PE=1 SV=3",-6.40977223160693,7.41395144950944,-3.33397999187962,0.00161286729971547,0.158937088200598,-1.18305904357226
3330,"Q53QZ3|RHG15_HUMAN","Rho GTPase-activating protein 15 OS=Homo sapiens OX=9606 GN=ARHGAP15 PE=1 SV=2",-1.9816916166364,8.93738868933765,-1.09169480436398,0.280169004473309,0.517223552057853,-5.25290089005109
3332,"Q12769|NU160_HUMAN","Nuclear pore complex protein Nup160 OS=Homo sapiens OX=9606 GN=NUP160 PE=1 SV=3",-1.90692165641436,8.70087960963053,-1.01880029479725,0.313173290737357,0.544701328738046,-5.32260156040818
3334,"Q9H2L5|RASF4_HUMAN","Ras association domain-containing protein 4 OS=Homo sapiens OX=9606 GN=RASSF4 PE=1 SV=2",-3.25934944141408,6.66655988804786,-1.54009729695815,0.129804742576304,0.411120587293556,-4.72569212733067
3335,"Q9NW64|RBM22_HUMAN","Pre-mRNA-splicing factor RBM22 OS=Homo sapiens OX=9606 GN=RBM22 PE=1 SV=1",1.39622629089639,6.95985875568061,0.650631454329905,0.518245589890063,0.69481312346252,-5.60336139742147
3336,"Q9BVL2|NUP58_HUMAN","Nucleoporin p58/p45 OS=Homo sapiens OX=9606 GN=NUP58 PE=1 SV=1",-2.07110106324486,10.4576172677104,-1.42404096190218,0.160609117226489,0.43423946509384,-4.87803271050238
3337,"Q9P2N5|RBM27_HUMAN","RNA-binding protein 27 OS=Homo sapiens OX=9606 GN=RBM27 PE=1 SV=2",-1.72558286028511,7.43320431918714,-0.872641462428127,0.387005385650485,0.60370597464565,-5.44842592760555
3339,"O43772|MCAT_HUMAN","Mitochondrial carnitine/acylcarnitine carrier protein OS=Homo sapiens OX=9606 GN=SLC25A20 PE=1 SV=1",-0.343183892335515,5.20741927656065,-0.162273873119408,0.871770899490049,0.931922875180849,-5.7866716676522
3340,"P42677|RS27_HUMAN","40S ribosomal protein S27 OS=Homo sapiens OX=9606 GN=RPS27 PE=1 SV=3",-0.557038505910949,14.4263741176714,-0.885924508948463,0.379874250883752,0.599091321331497,-5.43776549294435
