"Protein Group","Accession","Description","logFC","AveExpr","t","P.Value","adj.P.Val","B"
3182,"Q9Y478|AAKB1_HUMAN","5'-AMP-activated protein kinase subunit beta-1 OS=Homo sapiens OX=9606 GN=PRKAB1 PE=1 SV=4",4.12339219885821,5.01854833863589,2.53577627646392,0.0194400514430262,0.0266729144888279,-3.21820853026571
3183,"Q96RE7|NACC1_HUMAN","Nucleus accumbens-associated protein 1 OS=Homo sapiens OX=9606 GN=NACC1 PE=1 SV=1",2.68456659568742,4.29913553705049,2.07049501342969,0.0512321501217838,0.0619095348301531,-4.03043474660105
3185,"Q9UK41|VPS28_HUMAN","Vacuolar protein sorting-associated protein 28 homolog OS=Homo sapiens OX=9606 GN=VPS28 PE=1 SV=1",4.25335027238517,5.08352737539937,2.5747023892543,0.0178693376468815,0.0248633718614,-3.14641817562129
3187,"Q13459|MYO9B_HUMAN","Unconventional myosin-IXb OS=Homo sapiens OX=9606 GN=MYO9B PE=1 SV=3",2.13029948699748,4.02200198270552,1.70958991769841,0.102432404124574,0.115243938012744,-4.58823865656355
3188,"Q15291|RBBP5_HUMAN","Retinoblastoma-binding protein 5 OS=Homo sapiens OX=9606 GN=RBBP5 PE=1 SV=2",3.7227982293433,5.40450942619434,2.13648183577277,0.0448657150922278,0.0545415229255059,-3.92100894996253
3189,"Q68EM7|RHG17_HUMAN","Rho GTPase-activating protein 17 OS=Homo sapiens OX=9606 GN=ARHGAP17 PE=1 SV=1",2.0986113402164,4.00615790931498,1.62701664383966,0.119002632325255,0.129241222694565,-4.7051535691256
3191,"Q9UII2|ATIF1_HUMAN","ATPase inhibitor, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5IF1 PE=1 SV=1",7.57058744223736,6.74214596032546,5.72700532674642,1.20486829226685e-05,2.88479037638518e-05,3.19061067735581
3192,"Q16890|TPD53_HUMAN","Tumor protein D53 OS=Homo sapiens OX=9606 GN=TPD52L1 PE=1 SV=1",6.07086680596278,5.99228564218817,3.82607656584513,0.00101834838780271,0.00180342285788428,-0.656271928788315
3193,"P51970|NDUA8_HUMAN","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS=Homo sapiens OX=9606 GN=NDUFA8 PE=1 SV=3",8.4142531935548,7.16397883598419,10.8831692290083,5.64929241511645e-10,1.79601781983471e-09,10.9287637970621
3196,"Q5VW32|BROX_HUMAN","BRO1 domain-containing protein BROX OS=Homo sapiens OX=9606 GN=BROX PE=1 SV=1",3.59869246126931,4.75619846984144,2.42538737550239,0.0246264319436077,0.0326374399252632,-3.41887800490813
3198,"Q9BUA3|SPNDC_HUMAN","Spindlin interactor and repressor of chromatin-binding protein OS=Homo sapiens OX=9606 GN=SPINDOC PE=1 SV=3",1.71603873443704,3.8148716064253,1.5423102333913,0.138289750326993,0.146994903025655,-4.82053084186196
3199,"Q9H8V3|ECT2_HUMAN","Protein ECT2 OS=Homo sapiens OX=9606 GN=ECT2 PE=1 SV=4",2.40637248003456,4.16003847922406,1.71338248798479,0.101721120951309,0.114773669732917,-4.58276650510865
3200,"Q9NUL7|DDX28_HUMAN","Probable ATP-dependent RNA helicase DDX28 OS=Homo sapiens OX=9606 GN=DDX28 PE=1 SV=2",4.77610567601959,5.34490507721658,3.17446886178339,0.0046615857098498,0.00707414465231443,-1.98638867663821
3201,"Q01433|AMPD2_HUMAN","AMP deaminase 2 OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2",4.32902650327797,5.12136549084577,2.99068867355928,0.00709176697927026,0.010405222130408,-2.35099162656961
3202,"Q6PK04|CC137_HUMAN","Coiled-coil domain-containing protein 137 OS=Homo sapiens OX=9606 GN=CCDC137 PE=1 SV=1",3.66725790442937,4.79048119142147,2.42971060277715,0.024401121265912,0.0324169485416705,-3.41110363981771
3204,"Q9BV40|VAMP8_HUMAN","Vesicle-associated membrane protein 8 OS=Homo sapiens OX=9606 GN=VAMP8 PE=1 SV=1",5.66251953533803,5.7881120068758,3.64639131411941,0.0015546617758413,0.00267446284047766,-1.02688364810328
3205,"O43929|ORC4_HUMAN","Origin recognition complex subunit 4 OS=Homo sapiens OX=9606 GN=ORC4 PE=1 SV=2",2.0471954442059,3.98044996130973,1.61068164845351,0.122535448688136,0.132517268946439,-4.72776852432375
3207,"Q8NHH9|ATLA2_HUMAN","Atlastin-2 OS=Homo sapiens OX=9606 GN=ATL2 PE=1 SV=2",3.06405151894841,4.48887799868099,2.24806097369688,0.035712613341995,0.0443527617311874,-3.7313352060383
3208,"Q9NZ43|USE1_HUMAN","Vesicle transport protein USE1 OS=Homo sapiens OX=9606 GN=USE1 PE=1 SV=2",2.90232387798832,4.40801417820094,1.80082604942203,0.0864569563438335,0.100561716593281,-4.454183275457
3209,"Q13438|OS9_HUMAN","Protein OS-9 OS=Homo sapiens OX=9606 GN=OS9 PE=1 SV=1",-0.983288794511884,8.41256309560463,-0.525698071434726,0.609830394112431,0.619648196709648,-5.77305293095248
3210,"P61916|NPC2_HUMAN","NPC intracellular cholesterol transporter 2 OS=Homo sapiens OX=9606 GN=NPC2 PE=1 SV=1",1.32161503097642,6.18322721752032,0.775462462849566,0.446917620910278,0.457128809910885,-5.62323427500877
3211,"P51452|DUS3_HUMAN","Dual specificity protein phosphatase 3 OS=Homo sapiens OX=9606 GN=DUSP3 PE=1 SV=1",4.89194537732204,5.4028249278678,3.33179562951821,0.00324159414202059,0.00508563058140964,-1.66958926919796
3213,"Q8NHP6|MSPD2_HUMAN","Motile sperm domain-containing protein 2 OS=Homo sapiens OX=9606 GN=MOSPD2 PE=1 SV=1",3.65033037546953,4.78201742694155,2.42400546228751,0.024698859295834,0.0327221638984724,-3.42136156954344
3215,"A6NJ78|MET15_HUMAN","12S rRNA N4-methylcytidine (m4C) methyltransferase OS=Homo sapiens OX=9606 GN=METTL15 PE=1 SV=1",2.6137951452968,4.26374981185518,2.09145435755435,0.0491269037671654,0.0594775407243984,-3.99590714445927
3216,"Q6PL18|ATAD2_HUMAN","ATPase family AAA domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ATAD2 PE=1 SV=1",1.82202358086073,3.86786402963715,1.51197827436568,0.145798037938717,0.154167109602873,-4.86068543135029
3219,"Q8WUB8|PHF10_HUMAN","PHD finger protein 10 OS=Homo sapiens OX=9606 GN=PHF10 PE=1 SV=3",5.3803747069783,5.64703959269593,3.23453972036748,0.00405943758122418,0.0062640619990834,-1.86587982406775
3224,"#CONTAM#CYB5_HUMAN|",">sp|CYB5_HUMAN|",3.77211615999353,4.84291031920355,2.33722738703337,0.0296639943181721,0.0379928070941326,-3.5758262703446
3224,"P00167|CYB5_HUMAN","Cytochrome b5 OS=Homo sapiens OX=9606 GN=CYB5A PE=1 SV=2",3.77211615999353,4.84291031920355,2.33722738703337,0.0296639943181721,0.0379928070941326,-3.5758262703446
3226,"Q9H7Z6|KAT8_HUMAN","Histone acetyltransferase KAT8 OS=Homo sapiens OX=9606 GN=KAT8 PE=1 SV=2",2.03003421677665,3.97186934759511,1.59365561781656,0.126310978143491,0.135875179059078,-4.75115598391586
3227,"Q12872|SFSWA_HUMAN","Splicing factor, suppressor of white-apricot homolog OS=Homo sapiens OX=9606 GN=SFSWAP PE=1 SV=3",2.14987790136091,4.03179118988724,1.63137377112343,0.118074917427864,0.128487403080067,-4.69909230112132
3228,"Q9Y3B4|SF3B6_HUMAN","Splicing factor 3B subunit 6 OS=Homo sapiens OX=9606 GN=SF3B6 PE=1 SV=1",10.4523680093556,8.18303624388456,18.9286906991816,1.84399092190012e-14,1.61923798930029e-13,16.6982783923335
